,Function Name  ,Type  ,MValue  ,Degree of Confidence  ,Accuracy  ,Specificity  ,Sensitivity  ,ROC AUC  
0,------------,------------,------------,------------,------------,------------,------------,------------
1,defFuzzyDistance,H,86.5370718312,70.7897835905,0.19868554095,0.0397371081901,0.2,0.5
2,defFuzzyDistance,E,4.11132841864,0.366215205211,0.625884732053,0.784339679064,0.626091486715,0.527680785995
3,defFuzzyDistance,nH,0.0019551098421,0.00159933540261,0.19868554095,0.0397371081901,0.2,0.5
4,defFuzzyDistance,nE,0.0195418940026,0.00174068767893,0.625884732053,0.784339679064,0.626091486715,0.527680785995
5,defIFSDistance,H,86.5370718312,70.7897835905,0.19868554095,0.0397371081901,0.2,0.5
6,defIFSDistance,E,4.11132841864,0.366215205211,0.625884732053,0.784339679064,0.626091486715,0.527680785995
7,defIFSDistance,nH,0.0019551098421,0.00159933540261,0.19868554095,0.0397371081901,0.2,0.5
8,defIFSDistance,nE,0.0195418940026,0.00174068767893,0.625884732053,0.784339679064,0.626091486715,0.527680785995
9,wangXinDistance,1,0.0019551098421,0.00159933540261,0.19868554095,0.0397371081901,0.2,0.5
10,wangXinDistance,2,0.0019551098421,0.00159933540261,0.19868554095,0.0397371081901,0.2,0.5
11,yangChiclanaDistance,H,86.5370718313,70.7897835905,0.19868554095,0.0397371081901,0.2,0.5
12,yangChiclanaDistance,E,4.11132841864,0.366215205211,0.625884732053,0.784339679064,0.626091486715,0.527680785995
13,yangChiclanaDistance,nH,0.00195510984211,0.00159933540261,0.19868554095,0.0397371081901,0.2,0.5
14,yangChiclanaDistance,nE,0.0195418940026,0.00174068767893,0.625884732053,0.784339679064,0.626091486715,0.527680785995
15,grzegorDistance,H,86.5370718313,70.7897835905,0.19868554095,0.0397371081901,0.2,0.5
16,grzegorDistance,E,4.11132841864,0.366215205211,0.625884732053,0.784339679064,0.626091486715,0.527680785995
17,grzegorDistance,nH,0.00195510984211,0.00159933540261,0.19868554095,0.0397371081901,0.2,0.5
18,grzegorDistance,nE,0.0195418940026,0.00174068767893,0.625884732053,0.784339679064,0.626091486715,0.527680785995
19,vlachSergDistance,-,32.5909466761,3.43771094967,0.640040444894,0.788512940798,0.640224303612,0.526425377867
