,Function Name  ,Type  ,MValue  ,Degree of Confidence  ,Accuracy  ,Specificity  ,Sensitivity  ,ROC AUC  
0,------------,------------,------------,------------,------------,------------,------------,------------
1,dengChunSimilarity,-,0.998792995734,0.00165643623841,0.210750399148,0.210750399148,0.210750399148,0.500088020646
2,liangShiSimilarity,e,0.998792995734,0.0016564362384,0.210750399148,0.210750399148,0.210750399148,0.500088020646
3,liangShiSimilarity,s,0.998792995734,0.00165643623841,0.210750399148,0.210750399148,0.210750399148,0.500088020646
4,liangShiSimilarity,h,0.999034396588,0.00132514899072,0.210750399148,0.210750399148,0.210750399148,0.500088020646
5,parkKwunLimSimilarity,-,0.998792995734,0.0016564362384,0.210750399148,0.210750399148,0.210750399148,0.500088020646
6,mitchellSimilarity,-,0.998792995734,0.0016564362384,0.210750399148,0.210750399148,0.210750399148,0.500088020646
7,julHungLinSimilarity,1,0.999275797441,30.0019877235,0.0,0.0,0.0,0.500088020646
8,julHungLinSimilarity,2,0.997585991469,0.00331287247681,0.210750399148,0.210750399148,0.210750399148,0.500088020646
9,hungYangSimilarity,l,0.998792995734,0.00165643623841,0.210750399148,0.210750399148,0.210750399148,0.500088020646
10,hungYangSimilarity,e,0.998092590025,0.00261647351872,0.210750399148,0.210750399148,0.210750399148,0.500088020646
11,hungYangSimilarity,c,0.997591130534,0.00330285697135,0.210750399148,0.210750399148,0.210750399148,0.500088020646
12,yenSimilarity,-,1.51242919614e-05,2.33810837028e-09,0.632783395423,0.632783395423,0.632783395423,0.538791467979
13,hwangYangSimilarity,-,0.992369216365,0.000646683879826,0.221926556679,0.221926556679,0.221926556679,0.490831325095
14,hungYangSimilarity2,l,0.999663554259,5.19048315434e-05,0.661522086216,0.661522086216,0.661522086216,0.523135756892
15,hungYangSimilarity2,e,0.999533837907,7.19361489627e-05,0.661522086216,0.661522086216,0.661522086216,0.523135756892
16,hungYangSimilarity2,c,0.999430958361,8.7835652071e-05,0.661522086216,0.661522086216,0.661522086216,0.523135756892
17,zhangFuSimilarity,-,0.998792995734,0.0016564362384,0.210750399148,0.210750399148,0.210750399148,0.500088020646
18,hungYangSimilarity3,w1,0.99779384594,0.00369729782421,0.207025013305,0.207025013305,0.207025013305,0.498653198653
19,hungYangSimilarity3,w2,0.998189493602,0.00248465435761,0.210750399148,0.210750399148,0.210750399148,0.500088020646
20,hungYangSimilarity3,pk1,0.997324107581,0.00366860922686,0.210750399148,0.210750399148,0.210750399148,0.500088020646
21,hungYangSimilarity3,pk2,0.52779721599,0.034393335937,0.445981905269,0.445981905269,0.445981905269,0.499526568562
22,hungYangSimilarity3,pk3,0.998658884149,0.00184048470934,0.210750399148,0.210750399148,0.210750399148,0.500088020646
23,hungYangSimilarity3,new1,0.0,0.0,0.16977115487,0.16977115487,0.16977115487,0.5
24,hungYangSimilarity3,new2,2.00301014022e-17,2.32798228687e-17,0.175625332624,0.175625332624,0.175625332624,0.497721718026
25,chenSimilarity,-,0.998792995734,0.00165643623841,0.210750399148,0.210750399148,0.210750399148,0.500088020646
26,hungYangDistance4,l,0.998792995734,0.0016564362384,0.210750399148,0.210750399148,0.210750399148,0.500088020646
27,hungYangDistance4,e,0.997214114721,0.00381979933665,0.210750399148,0.210750399148,0.210750399148,0.500088020646
28,hungYangDistance4,c,0.996394291214,0.00493936272898,0.210750399148,0.210750399148,0.210750399148,0.500088020646
29,hongKimSimilarity,-,0.998792995734,0.0016564362384,0.210750399148,0.210750399148,0.210750399148,0.500088020646
30,chenSimilarity2,-,0.998792995734,0.00165643623841,0.210750399148,0.210750399148,0.210750399148,0.500088020646
31,liuSimilarity,-,0.998792995734,0.0016564362384,0.210750399148,0.210750399148,0.210750399148,0.500088020646
32,iancuSimilarity,1,0.999387389753,0.00275628796481,0.213943587014,0.213943587014,0.213943587014,0.49000837478
