,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,dengChunSimilarity,-,"rj1=0.6, rj2=0.6",0.9941804616851675,0.7658950391535404,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
1,liangShiSimilarity,e,"rj1=0.6, rj2=0.6",0.9941804616851673,0.7658950391535352,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
2,liangShiSimilarity,s,"rj1=0.6, rj2=0.6",0.9941804616851673,0.7658950391535352,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
3,liangShiSimilarity,h,"rj1=0.6, rj2=0.6",0.9953443693481339,0.765895039153542,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
4,parkKwunLimSimilarity,-,"rj1=0.6, rj2=0.6",0.9941804616851668,0.7658950391535386,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
5,mitchellSimilarity,-,"rj1=0.6, rj2=0.6",0.9941804616851673,0.765895039153542,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
6,julHungLinSimilarity,1,"rj1=0.6, rj2=0.6",0.9965082770111003,0.7658950391532213,0.006812291743798593,0.006812291743798593,0.006812291743798593,0.4976054337305724
7,julHungLinSimilarity,2,"rj1=0.6, rj2=0.6",0.9883609233703347,0.7658950391535374,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
8,hungYangSimilarity,l,"rj1=0.6, rj2=0.6",0.9941804616851669,0.7658950391535392,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
9,hungYangSimilarity,e,"rj1=0.6, rj2=0.6",0.9908223597101486,0.7666268989334869,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
10,hungYangSimilarity,c,"rj1=0.6, rj2=0.6",0.9884332491383965,0.76733390002521,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
11,yenSimilarity,-,"rj1=0.6, rj2=0.9999999999999999",0.00017059433823018994,0.7661195016144944,0.9037208441318031,0.9037208441318031,0.9037208441318031,0.5214440904601475
12,hwangYangSimilarity,-,"rj1=0.6, rj2=0.6",0.9880841946442258,0.7446193799965817,0.3706405035172159,0.3706405035172159,0.3706405035172159,0.49831099906125476
13,hungYangSimilarity2,l,"rj1=0.6, rj2=0.7",0.9981202957680265,0.7641972151818094,0.8928359866716032,0.8928359866716032,0.8928359866716032,0.5125714788412817
14,hungYangSimilarity2,e,"rj1=0.6, rj2=0.7",0.9973963473279502,0.7643430869937466,0.8928359866716032,0.8928359866716032,0.8928359866716032,0.5125714788412817
15,hungYangSimilarity2,c,"rj1=0.6, rj2=0.7",0.9968226788762287,0.7644880053985895,0.8928359866716032,0.8928359866716032,0.8928359866716032,0.5125714788412817
16,zhangFuSimilarity,-,"rj1=0.6, rj2=0.6",0.9941804616851673,0.7658950391535223,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
17,hungYangSimilarity3,w1,"rj1=0.9999999999999999, rj2=0.6",0.9847806199063855,0.7676859557648814,0.13713439466864125,0.13713439466864125,0.13713439466864125,0.49874999999999997
18,hungYangSimilarity3,w2,"rj1=0.6, rj2=0.6",0.9912706925277511,0.7658950391535294,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
19,hungYangSimilarity3,pk1,"rj1=0.6, rj2=0.6",0.9808015440323603,0.7682490441940126,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
20,hungYangSimilarity3,pk2,"rj1=0.6, rj2=0.6",0.680937205887225,0.8054548583579875,0.7176786375416513,0.7176786375416513,0.7176786375416513,0.48495404911707196
21,hungYangSimilarity3,pk3,"rj1=0.6, rj2=0.6",0.9903007694752788,0.7658950391535423,0.1494076268048871,0.1494076268048871,0.1494076268048871,0.4976054337305724
22,hungYangSimilarity3,new1,"rj1=0.7, rj2=0.9999999999999999",2.5945246198300022e-15,0.354303411236016,0.1698074787115883,0.1698074787115883,0.1698074787115883,0.49399460918796495
23,hungYangSimilarity3,new2,"rj1=0.7, rj2=0.7999999999999999",2.635625421476464e-12,0.3634187425262324,0.1698074787115883,0.1698074787115883,0.1698074787115883,0.47531275818354174
