,Function Name  ,Type  ,MValue  ,Degree of Confidence  ,Accuracy  ,Specificity  ,Sensitivity  ,ROC AUC  
0,------------,------------,------------,------------,------------,------------,------------,------------
1,defFuzzyDistance,H,91.3025429861,20.9686414662,0.552259887006,0.775495750708,0.503134796238,0.503134796238
2,defFuzzyDistance,E,4.04905774705,0.416508143602,0.800847457627,0.819915254237,0.787176346391,0.787176346391
3,defFuzzyDistance,nH,0.00427326326809,0.000981402296462,0.552259887006,0.775495750708,0.503134796238,0.503134796238
4,defFuzzyDistance,nE,0.0277008029941,0.00284945554056,0.800847457627,0.819915254237,0.787176346391,0.787176346391
5,defIFSDistance,H,91.3025429861,20.9686414662,0.552259887006,0.775495750708,0.503134796238,0.503134796238
6,defIFSDistance,E,4.04905774705,0.416508143602,0.800847457627,0.819915254237,0.787176346391,0.787176346391
7,defIFSDistance,nH,0.00427326326809,0.000981402296462,0.552259887006,0.775495750708,0.503134796238,0.503134796238
8,defIFSDistance,nE,0.0277008029941,0.00284945554056,0.800847457627,0.819915254237,0.787176346391,0.787176346391
9,wangXinDistance,1,0.00427326326809,0.000981402296461,0.552259887006,0.775495750708,0.503134796238,0.503134796238
10,wangXinDistance,2,2.00002961158e-07,4.59328978967e-08,0.552259887006,0.775495750708,0.503134796238,0.503134796238
11,yangChiclanaDistance,H,91.3025429861,20.9686414662,0.552259887006,0.775495750708,0.503134796238,0.503134796238
12,yangChiclanaDistance,E,4.04905774705,0.416508143602,0.800847457627,0.819915254237,0.787176346391,0.787176346391
13,yangChiclanaDistance,nH,0.00427326326809,0.000981402296461,0.552259887006,0.775495750708,0.503134796238,0.503134796238
14,yangChiclanaDistance,nE,0.0277008029941,0.00284945554056,0.800847457627,0.819915254237,0.787176346391,0.787176346391
15,grzegorDistance,H,91.3025429861,20.9686414662,0.552259887006,0.775495750708,0.503134796238,0.503134796238
16,grzegorDistance,E,4.04905774705,0.416508143602,0.800847457627,0.819915254237,0.787176346391,0.787176346391
17,grzegorDistance,nH,0.00427326326809,0.000981402296461,0.552259887006,0.775495750708,0.503134796238,0.503134796238
18,grzegorDistance,nE,0.0277008029941,0.00284945554056,0.800847457627,0.819915254237,0.787176346391,0.787176346391
19,vlachSergDistance,-,-57129.2878092,17.2933044105,0.569209039548,0.705523255814,0.522789726894,0.522789726894
