,Function Name  ,Type  ,MValue  ,Degree of Confidence  ,Accuracy  ,Specificity  ,Sensitivity  ,ROC AUC  
0,------------,------------,------------,------------,------------,------------,------------,------------
1,defFuzzyDistance,H,74.6849589484,124.665656556,0.134640522876,0.352646655177,0.132097212811,0.496442286685
2,defFuzzyDistance,E,3.80562624271,0.29769816914,0.613071895425,0.669153660744,0.613906330429,0.558154630416
3,defFuzzyDistance,nH,0.000922811235956,0.00154037533431,0.134640522876,0.352646655177,0.132097212811,0.496442286685
4,defFuzzyDistance,nE,0.0133772239214,0.00104644408452,0.613071895425,0.669153660744,0.613906330429,0.558154630416
5,defIFSDistance,H,74.6849589484,124.665656556,0.134640522876,0.352646655177,0.132097212811,0.496442286685
6,defIFSDistance,E,3.80562624271,0.29769816914,0.613071895425,0.669153660744,0.613906330429,0.558154630416
7,defIFSDistance,nH,0.000922811235956,0.00154037533431,0.134640522876,0.352646655177,0.132097212811,0.496442286685
8,defIFSDistance,nE,0.0133772239214,0.00104644408452,0.613071895425,0.669153660744,0.613906330429,0.558154630416
9,wangXinDistance,1,0.000922811235956,0.00154037533431,0.134640522876,0.352646655177,0.132097212811,0.496442286685
10,wangXinDistance,2,1.14023036124e-08,1.90329577214e-08,0.134640522876,0.352646655177,0.132097212811,0.496442286685
11,yangChiclanaDistance,H,74.6849589484,124.665656556,0.134640522876,0.352646655177,0.132097212811,0.496442286685
12,yangChiclanaDistance,E,3.80562624271,0.29769816914,0.613071895425,0.669153660744,0.613906330429,0.558154630416
13,yangChiclanaDistance,nH,0.000922811235957,0.00154037533431,0.134640522876,0.352646655177,0.132097212811,0.496442286685
14,yangChiclanaDistance,nE,0.0133772239214,0.00104644408452,0.613071895425,0.669153660744,0.613906330429,0.558154630416
15,grzegorDistance,H,74.6849589484,124.665656556,0.134640522876,0.352646655177,0.132097212811,0.496442286685
16,grzegorDistance,E,3.80562624271,0.29769816914,0.613071895425,0.669153660744,0.613906330429,0.558154630416
17,grzegorDistance,nH,0.000922811235957,0.00154037533431,0.134640522876,0.352646655177,0.132097212811,0.496442286685
18,grzegorDistance,nE,0.0133772239214,0.00104644408452,0.613071895425,0.669153660744,0.613906330429,0.558154630416
19,vlachSergDistance,-,-215955.551794,61.5559757063,0.150653594771,0.731283455254,0.150216010218,0.502027916009
