,Function Name  ,Type  ,MValue  ,Degree of Confidence  ,Accuracy  ,Specificity  ,Sensitivity  ,ROC AUC  
0,------------,------------,------------,------------,------------,------------,------------,------------
1,defFuzzyDistance,H,120.734785536,36.9015862478,0.275456150677,0.163211760913,0.298450419428,0.559542906997
2,defFuzzyDistance,E,4.77089277149,0.368920566253,0.682754561507,0.739796990412,0.681111503132,0.654667422525
3,defFuzzyDistance,nH,0.00294410459987,0.000899841162861,0.275456150677,0.163211760913,0.298450419428,0.559542906997
4,defFuzzyDistance,nE,0.0235591743431,0.00182176887123,0.682754561507,0.739796990412,0.681111503132,0.654667422525
5,defIFSDistance,H,120.734785536,36.9015862478,0.275456150677,0.163211760913,0.298450419428,0.559542906997
6,defIFSDistance,E,4.77089277149,0.368920566253,0.682754561507,0.739796990412,0.681111503132,0.654667422525
7,defIFSDistance,nH,0.00294410459987,0.000899841162861,0.275456150677,0.163211760913,0.298450419428,0.559542906997
8,defIFSDistance,nE,0.0235591743431,0.00182176887123,0.682754561507,0.739796990412,0.681111503132,0.654667422525
9,wangXinDistance,1,0.00294410459987,0.000899841162861,0.275456150677,0.163211760913,0.298450419428,0.559542906997
10,wangXinDistance,2,7.17916701179e-08,2.1942528783e-08,0.275456150677,0.163211760913,0.298450419428,0.559542906997
11,yangChiclanaDistance,H,120.734785536,36.9015862478,0.275456150677,0.163211760913,0.298450419428,0.559542906997
12,yangChiclanaDistance,E,4.77089277149,0.368920566253,0.682754561507,0.739796990412,0.681111503132,0.654667422525
13,yangChiclanaDistance,nH,0.00294410459987,0.000899841162862,0.275456150677,0.163211760913,0.298450419428,0.559542906997
14,yangChiclanaDistance,nE,0.0235591743431,0.00182176887123,0.682754561507,0.739796990412,0.681111503132,0.654667422525
15,grzegorDistance,H,120.734785536,36.9015862478,0.275456150677,0.163211760913,0.298450419428,0.559542906997
16,grzegorDistance,E,4.77089277149,0.368920566253,0.682754561507,0.739796990412,0.681111503132,0.654667422525
17,grzegorDistance,nH,0.00294410459987,0.000899841162862,0.275456150677,0.163211760913,0.298450419428,0.559542906997
18,grzegorDistance,nE,0.0235591743431,0.00182176887123,0.682754561507,0.739796990412,0.681111503132,0.654667422525
19,vlachSergDistance,-,-109556.788302,21.0413784031,0.296056503826,0.736899493012,0.317918911236,0.566568766987
