,Measure,Parameters,Best r pars,MValue,Degree of Confidence,Accuracy,Precision,Recall,ROC
0,defFuzzyDistance,H,"rj1=0.6, rj2=0.8999999999999999",48.81631935651231,0.8382847135719519,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
1,defFuzzyDistance,E,"rj1=0.8999999999999999, rj2=0.7",3.2091053350335166,0.8240821952238446,0.892592817032279,0.8948457335611802,0.8883714215914738,0.4963618243286628
2,defFuzzyDistance,nH,"rj1=0.6, rj2=0.8999999999999999",0.003923195319176428,0.8382847135719519,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
3,defFuzzyDistance,nE,"rj1=0.8999999999999999, rj2=0.7",0.028768778466056615,0.8240821952238448,0.892592817032279,0.8948457335611802,0.8883714215914738,0.4963618243286628
4,defIFSDistance,H,"rj1=0.6, rj2=0.8999999999999999",58.57958322781707,0.8382847135719549,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
5,defIFSDistance,E,"rj1=0.8999999999999999, rj2=0.7",3.2581021432725548,0.8240821952238446,0.892592817032279,0.8948457335611802,0.8883714215914738,0.4963618243286628
6,defIFSDistance,nH,"rj1=0.6, rj2=0.8999999999999999",0.004707834383011899,0.8382847135719548,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
7,defIFSDistance,nE,"rj1=0.8999999999999999, rj2=0.7",0.029208021860900806,0.8240821952238448,0.892592817032279,0.8948457335611802,0.8883714215914738,0.4963618243286628
8,wangXinDistance,1,"rj1=0.6, rj2=0.8999999999999999",0.004315514851094195,0.8382847135719551,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
9,wangXinDistance,2,"rj1=0.6, rj2=0.8999999999999999",0.003923195319176428,0.8382847135719521,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
10,yangChiclanaDistance,H,"rj1=0.6, rj2=0.8999999999999999",58.5795832278186,0.8382847135719569,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
11,yangChiclanaDistance,E,"rj1=0.8999999999999999, rj2=0.7",3.582364756497257,0.8240821952238446,0.892592817032279,0.8948457335611802,0.8883714215914738,0.4963618243286628
12,yangChiclanaDistance,nH,"rj1=0.6, rj2=0.8999999999999999",0.004707834383012023,0.8382847135719571,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
13,yangChiclanaDistance,nE,"rj1=0.8999999999999999, rj2=0.7",0.03211495021343762,0.8240821952238446,0.892592817032279,0.8948457335611802,0.8883714215914738,0.4963618243286628
14,grzegorDistance,H,"rj1=0.6, rj2=0.8999999999999999",58.57958322781783,0.8382847135719578,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
15,grzegorDistance,E,"rj1=0.8999999999999999, rj2=0.7",3.582364756497257,0.8240821952238446,0.892592817032279,0.8948457335611802,0.8883714215914738,0.4963618243286628
16,grzegorDistance,nH,"rj1=0.6, rj2=0.8999999999999999",0.004707834383011962,0.8382847135719578,0.5676564456833515,0.43877196919014433,0.5238445890197478,0.5971283028494695
17,grzegorDistance,nE,"rj1=0.8999999999999999, rj2=0.7",0.03211495021343762,0.8240821952238446,0.892592817032279,0.8948457335611802,0.8883714215914738,0.4963618243286628
18,vlachSergDistance,-,"rj1=0.6, rj2=0.9999999999999999",22.42489645204011,0.7604581830950684,0.9056134609946268,0.9066079009556818,0.9013715871851739,0.49315959210323956
